X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
0.0027,0.0001,0.0986
0.0055,0.0002,0.0987
0.0067,0.0001,0.1000
0.0066,-0.0001,0.1013
0.0057,-0.0002,0.1024
0.0043,-0.0003,0.1031
0.0029,-0.0003,0.1035
0.0013,-0.0004,0.1036
-0.0001,-0.0004,0.1036
-0.0015,-0.0005,0.1033
-0.0029,-0.0005,0.1030
-0.0042,-0.0005,0.1027
-0.0055,-0.0005,0.1022
-0.0067,-0.0005,0.1018
-0.0078,-0.0006,0.1013
-0.0090,-0.0006,0.1008
-0.0101,-0.0006,0.1003
-0.0112,-0.0006,0.0998
-0.0122,-0.0006,0.0993
-0.0132,-0.0007,0.0988
-0.0142,-0.0007,0.0983
-0.0152,-0.0007,0.0979
-0.0161,-0.0007,0.0974
-0.0170,-0.0008,0.0970
-0.0179,-0.0008,0.0966
-0.0187,-0.0009,0.0962
-0.0196,-0.0009,0.0958
-0.0203,-0.0009,0.0955
-0.0211,-0.0010,0.0951
-0.0218,-0.0010,0.0948
-0.0226,-0.0010,0.0945
-0.0232,-0.0010,0.0941
-0.0239,-0.0010,0.0939
-0.0245,-0.0010,0.0936
-0.0252,-0.0010,0.0933
-0.0258,-0.0010,0.0930
-0.0264,-0.0010,0.0927
-0.0269,-0.0009,0.0925
-0.0275,-0.0009,0.0922
-0.0280,-0.0008,0.0919
-0.0286,-0.0008,0.0916
-0.0291,-0.0007,0.0914
-0.0297,-0.0007,0.0911
-0.0302,-0.0006,0.0908
-0.0307,-0.0006,0.0905
-0.0312,-0.0005,0.0902
-0.0317,-0.0005,0.0900
-0.0322,-0.0005,0.0897
-0.0327,-0.0005,0.0894
-0.0331,-0.0006,0.0892
-0.0336,-0.0006,0.0889
-0.0341,-0.0006,0.0887
-0.0345,-0.0007,0.0884
-0.0350,-0.0008,0.0882
-0.0354,-0.0008,0.0879
-0.0358,-0.0009,0.0877
-0.0362,-0.0010,0.0875
-0.0367,-0.0011,0.0873
-0.0370,-0.0012,0.0872
-0.0374,-0.0014,0.0870
-0.0378,-0.0015,0.0868
-0.0382,-0.0016,0.0867
-0.0385,-0.0018,0.0866
-0.0389,-0.0019,0.0865
-0.0392,-0.0021,0.0864
-0.0395,-0.0023,0.0863
-0.0398,-0.0024,0.0862
-0.0401,-0.0026,0.0862
-0.0404,-0.0027,0.0861
-0.0406,-0.0029,0.0861
-0.0409,-0.0030,0.0860
-0.0411,-0.0032,0.0860
-0.0413,-0.0033,0.0860
