X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0001,-0.0000,0.1000
-0.0001,-0.0000,0.1001
-0.0000,-0.0001,0.1001
0.0000,-0.0001,0.1000
0.0001,-0.0001,0.1000
0.0002,-0.0001,0.0999
0.0002,-0.0001,0.0999
0.0003,-0.0001,0.0998
0.0003,-0.0001,0.0997
0.0004,-0.0001,0.0996
0.0004,-0.0001,0.0995
0.0004,-0.0001,0.0993
0.0005,-0.0001,0.0992
0.0005,-0.0001,0.0991
0.0006,-0.0002,0.0990
0.0006,-0.0002,0.0988
0.0007,-0.0002,0.0987
0.0007,-0.0002,0.0985
0.0008,-0.0003,0.0984
0.0009,-0.0003,0.0982
0.0009,-0.0003,0.0980
0.0010,-0.0004,0.0979
0.0011,-0.0004,0.0977
0.0012,-0.0004,0.0975
0.0013,-0.0005,0.0973
0.0014,-0.0005,0.0972
0.0015,-0.0005,0.0970
0.0016,-0.0005,0.0968
0.0017,-0.0006,0.0966
0.0018,-0.0006,0.0964
0.0019,-0.0006,0.0962
0.0020,-0.0006,0.0960
0.0021,-0.0006,0.0958
0.0022,-0.0006,0.0956
0.0023,-0.0006,0.0954
0.0024,-0.0006,0.0952
0.0025,-0.0006,0.0950
0.0026,-0.0007,0.0948
0.0027,-0.0007,0.0946
0.0028,-0.0007,0.0944
0.0029,-0.0007,0.0942
0.0030,-0.0007,0.0940
0.0031,-0.0007,0.0938
0.0032,-0.0007,0.0936
0.0033,-0.0007,0.0934
0.0034,-0.0007,0.0932
0.0035,-0.0007,0.0930
0.0036,-0.0007,0.0928
0.0037,-0.0007,0.0926
0.0038,-0.0007,0.0924
0.0039,-0.0007,0.0922
0.0040,-0.0007,0.0921
0.0041,-0.0006,0.0919
0.0042,-0.0006,0.0917
0.0043,-0.0006,0.0915
0.0044,-0.0006,0.0913
0.0045,-0.0006,0.0911
0.0046,-0.0006,0.0909
0.0047,-0.0006,0.0908
0.0048,-0.0005,0.0906
0.0050,-0.0005,0.0904
0.0051,-0.0005,0.0902
0.0052,-0.0005,0.0901
0.0053,-0.0004,0.0899
0.0055,-0.0004,0.0897
0.0056,-0.0004,0.0896
0.0057,-0.0004,0.0894
0.0058,-0.0003,0.0892
0.0060,-0.0003,0.0891
0.0061,-0.0003,0.0889
0.0063,-0.0002,0.0888
0.0064,-0.0002,0.0886
0.0066,-0.0001,0.0885
0.0067,-0.0001,0.0883
0.0069,-0.0001,0.0882
0.0070,-0.0000,0.0880
0.0072,0.0000,0.0879
0.0073,0.0001,0.0877
0.0075,0.0001,0.0876
0.0076,0.0002,0.0875
0.0078,0.0002,0.0873
0.0080,0.0003,0.0872
0.0081,0.0003,0.0871
0.0083,0.0004,0.0869
0.0085,0.0004,0.0868
0.0087,0.0005,0.0867
0.0089,0.0005,0.0866
0.0090,0.0006,0.0865
0.0092,0.0006,0.0864
0.0094,0.0007,0.0862
0.0096,0.0007,0.0861
0.0098,0.0008,0.0860
0.0100,0.0008,0.0859
0.0102,0.0009,0.0858
0.0104,0.0010,0.0857
0.0106,0.0010,0.0856
0.0108,0.0011,0.0855
0.0110,0.0011,0.0854
0.0112,0.0012,0.0853
0.0114,0.0012,0.0852
0.0116,0.0013,0.0851
0.0118,0.0013,0.0850
0.0121,0.0014,0.0849
0.0123,0.0014,0.0848
0.0125,0.0015,0.0847
0.0127,0.0015,0.0846
0.0129,0.0016,0.0845
0.0131,0.0016,0.0844
0.0134,0.0017,0.0843
0.0136,0.0017,0.0842
0.0138,0.0018,0.0841
0.0140,0.0018,0.0840
0.0143,0.0019,0.0839
0.0145,0.0019,0.0838
0.0147,0.0020,0.0837
0.0149,0.0020,0.0836
0.0152,0.0020,0.0835
0.0154,0.0021,0.0834
0.0156,0.0021,0.0833
0.0159,0.0022,0.0832
0.0161,0.0022,0.0831
0.0163,0.0022,0.0830
0.0166,0.0023,0.0829
0.0168,0.0023,0.0828
0.0170,0.0023,0.0827
0.0173,0.0024,0.0825
0.0175,0.0024,0.0824
0.0178,0.0025,0.0823
0.0180,0.0025,0.0822
0.0182,0.0025,0.0821
0.0185,0.0026,0.0820
0.0187,0.0026,0.0819
0.0190,0.0026,0.0818
0.0192,0.0027,0.0817
0.0194,0.0027,0.0816
0.0197,0.0027,0.0814
0.0199,0.0027,0.0813
0.0202,0.0028,0.0812
0.0204,0.0028,0.0811
0.0207,0.0028,0.0810
0.0209,0.0029,0.0809
0.0212,0.0029,0.0807
0.0214,0.0029,0.0806
0.0216,0.0030,0.0805
0.0219,0.0030,0.0804
0.0221,0.0030,0.0803
0.0224,0.0030,0.0802
0.0226,0.0031,0.0800
0.0229,0.0031,0.0799
0.0231,0.0031,0.0798
0.0234,0.0031,0.0797
0.0236,0.0032,0.0796
0.0239,0.0032,0.0794
0.0241,0.0032,0.0793
0.0244,0.0033,0.0792
0.0247,0.0033,0.0791
0.0249,0.0033,0.0790
0.0252,0.0033,0.0788
0.0254,0.0033,0.0787
0.0257,0.0034,0.0786
0.0259,0.0034,0.0785
0.0262,0.0034,0.0784
0.0264,0.0034,0.0782
0.0267,0.0034,0.0781
0.0270,0.0035,0.0780
0.0272,0.0035,0.0779
0.0275,0.0035,0.0778
0.0278,0.0035,0.0777
0.0280,0.0035,0.0776
0.0283,0.0035,0.0775
0.0286,0.0036,0.0773
0.0288,0.0036,0.0772
0.0291,0.0036,0.0771
0.0294,0.0036,0.0770
0.0296,0.0036,0.0769
0.0299,0.0036,0.0768
0.0302,0.0036,0.0767
0.0305,0.0036,0.0766
0.0307,0.0036,0.0765
0.0310,0.0036,0.0764
0.0313,0.0036,0.0763
0.0316,0.0036,0.0762
0.0319,0.0036,0.0761
0.0321,0.0036,0.0760
0.0324,0.0036,0.0760
0.0327,0.0036,0.0759
0.0330,0.0036,0.0758
0.0333,0.0036,0.0757
0.0335,0.0036,0.0756
0.0338,0.0036,0.0756
