X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0002,-0.0000,0.1001
-0.0002,-0.0001,0.1002
-0.0002,-0.0001,0.1003
-0.0000,-0.0001,0.1003
0.0001,-0.0001,0.1003
0.0002,-0.0001,0.1002
0.0003,-0.0001,0.1001
0.0004,-0.0001,0.1000
0.0005,-0.0001,0.0999
0.0006,-0.0001,0.0998
0.0007,-0.0001,0.0997
0.0008,-0.0001,0.0996
0.0009,-0.0002,0.0995
0.0010,-0.0002,0.0994
0.0012,-0.0002,0.0994
0.0013,-0.0003,0.0994
0.0015,-0.0003,0.0994
0.0017,-0.0004,0.0994
0.0019,-0.0004,0.0995
0.0022,-0.0004,0.0995
0.0024,-0.0005,0.0996
0.0027,-0.0004,0.0997
0.0030,-0.0004,0.0999
0.0032,-0.0004,0.1000
0.0035,-0.0003,0.1002
0.0037,-0.0003,0.1004
0.0040,-0.0003,0.1006
0.0042,-0.0003,0.1008
0.0045,-0.0002,0.1010
0.0047,-0.0002,0.1012
0.0050,-0.0001,0.1013
0.0053,-0.0000,0.1015
0.0056,0.0001,0.1017
0.0058,0.0001,0.1018
0.0061,0.0002,0.1020
0.0064,0.0002,0.1021
0.0066,0.0002,0.1023
0.0069,0.0002,0.1024
0.0071,0.0003,0.1025
0.0074,0.0004,0.1026
0.0076,0.0005,0.1027
0.0079,0.0006,0.1028
0.0081,0.0006,0.1029
0.0083,0.0006,0.1030
0.0086,0.0006,0.1031
0.0088,0.0007,0.1032
0.0090,0.0007,0.1033
0.0093,0.0008,0.1033
0.0095,0.0009,0.1034
0.0097,0.0010,0.1034
0.0099,0.0010,0.1035
0.0102,0.0010,0.1036
0.0104,0.0010,0.1036
0.0106,0.0010,0.1036
0.0109,0.0010,0.1037
0.0111,0.0011,0.1037
0.0113,0.0011,0.1038
0.0116,0.0012,0.1038
0.0118,0.0013,0.1038
0.0120,0.0013,0.1039
0.0122,0.0013,0.1039
0.0125,0.0013,0.1040
0.0127,0.0012,0.1040
0.0129,0.0013,0.1040
0.0132,0.0013,0.1041
0.0134,0.0014,0.1041
0.0137,0.0014,0.1041
0.0139,0.0015,0.1042
0.0142,0.0015,0.1042
0.0144,0.0015,0.1042
0.0146,0.0014,0.1043
0.0149,0.0014,0.1043
0.0151,0.0014,0.1043
0.0154,0.0014,0.1044
0.0156,0.0015,0.1044
0.0159,0.0016,0.1044
0.0161,0.0016,0.1044
0.0164,0.0016,0.1044
0.0167,0.0016,0.1045
0.0169,0.0015,0.1045
0.0172,0.0015,0.1045
0.0174,0.0015,0.1045
0.0177,0.0015,0.1046
0.0179,0.0016,0.1046
0.0182,0.0016,0.1046
0.0185,0.0017,0.1046
0.0187,0.0017,0.1046
0.0190,0.0016,0.1046
0.0193,0.0016,0.1046
0.0195,0.0016,0.1046
0.0198,0.0016,0.1047
0.0201,0.0016,0.1047
0.0203,0.0016,0.1047
0.0206,0.0017,0.1047
0.0209,0.0017,0.1047
0.0212,0.0017,0.1047
0.0214,0.0017,0.1047
0.0217,0.0017,0.1047
0.0220,0.0016,0.1047
0.0222,0.0016,0.1047
0.0225,0.0016,0.1047
0.0228,0.0017,0.1046
0.0231,0.0017,0.1046
0.0234,0.0018,0.1046
0.0236,0.0018,0.1046
0.0239,0.0017,0.1046
0.0242,0.0017,0.1046
0.0245,0.0017,0.1046
0.0247,0.0017,0.1046
0.0250,0.0017,0.1046
0.0253,0.0017,0.1045
0.0256,0.0018,0.1045
0.0259,0.0018,0.1045
0.0262,0.0018,0.1045
0.0264,0.0018,0.1045
0.0267,0.0017,0.1044
0.0270,0.0017,0.1044
0.0273,0.0017,0.1044
0.0276,0.0017,0.1044
0.0279,0.0017,0.1043
0.0281,0.0018,0.1043
0.0284,0.0018,0.1043
0.0287,0.0018,0.1042
0.0290,0.0018,0.1042
0.0293,0.0017,0.1042
0.0296,0.0017,0.1041
0.0299,0.0017,0.1041
0.0302,0.0017,0.1041
0.0304,0.0018,0.1040
0.0307,0.0018,0.1040
0.0310,0.0018,0.1039
0.0313,0.0018,0.1039
0.0316,0.0018,0.1038
0.0319,0.0018,0.1038
0.0322,0.0017,0.1038
0.0325,0.0017,0.1037
0.0328,0.0017,0.1037
0.0330,0.0018,0.1036
0.0333,0.0018,0.1036
0.0336,0.0019,0.1035
0.0339,0.0019,0.1034
0.0342,0.0018,0.1034
0.0345,0.0018,0.1033
0.0348,0.0018,0.1033
0.0351,0.0018,0.1032
0.0354,0.0018,0.1032
0.0357,0.0018,0.1031
0.0360,0.0019,0.1030
0.0362,0.0019,0.1030
0.0365,0.0019,0.1029
0.0368,0.0019,0.1029
0.0371,0.0018,0.1028
0.0374,0.0018,0.1027
0.0377,0.0018,0.1027
0.0380,0.0018,0.1026
0.0383,0.0019,0.1025
0.0386,0.0019,0.1025
0.0389,0.0019,0.1024
0.0392,0.0019,0.1023
0.0395,0.0019,0.1022
0.0398,0.0019,0.1022
0.0401,0.0019,0.1021
0.0404,0.0019,0.1020
0.0406,0.0019,0.1019
0.0409,0.0019,0.1019
0.0412,0.0020,0.1018
0.0415,0.0020,0.1017
0.0418,0.0020,0.1016
0.0421,0.0019,0.1015
0.0424,0.0019,0.1015
0.0427,0.0019,0.1014
0.0430,0.0019,0.1013
0.0433,0.0019,0.1012
0.0436,0.0020,0.1011
0.0439,0.0020,0.1010
0.0442,0.0020,0.1009
0.0445,0.0020,0.1008
0.0448,0.0020,0.1008
0.0450,0.0020,0.1007
0.0453,0.0020,0.1006
0.0456,0.0020,0.1005
0.0459,0.0020,0.1004
0.0462,0.0020,0.1003
0.0465,0.0021,0.1002
0.0468,0.0021,0.1001
0.0471,0.0021,0.1000
0.0474,0.0021,0.0999
0.0477,0.0020,0.0998
0.0480,0.0020,0.0997
0.0483,0.0020,0.0996
0.0486,0.0021,0.0995
0.0489,0.0021,0.0995
0.0492,0.0021,0.0994
0.0495,0.0022,0.0993
0.0498,0.0022,0.0992
0.0501,0.0021,0.0991
0.0504,0.0021,0.0991
0.0507,0.0021,0.0990
0.0510,0.0021,0.0989
0.0513,0.0021,0.0988
0.0516,0.0022,0.0988
0.0519,0.0022,0.0987
0.0522,0.0022,0.0987
0.0525,0.0022,0.0986
0.0528,0.0022,0.0986
0.0531,0.0021,0.0985
0.0534,0.0021,0.0985
0.0537,0.0021,0.0985
