X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0002,-0.0000,0.1001
-0.0002,-0.0001,0.1002
-0.0002,-0.0001,0.1003
-0.0000,-0.0001,0.1003
0.0001,-0.0001,0.1003
0.0002,-0.0001,0.1002
0.0003,-0.0001,0.1001
0.0004,-0.0001,0.1000
0.0005,-0.0001,0.0999
0.0006,-0.0001,0.0997
0.0007,-0.0001,0.0996
0.0007,-0.0000,0.0994
0.0008,-0.0000,0.0992
0.0009,-0.0000,0.0991
0.0009,0.0000,0.0989
0.0010,0.0000,0.0987
0.0010,0.0000,0.0985
0.0011,0.0000,0.0983
0.0011,0.0001,0.0980
0.0012,0.0001,0.0978
0.0012,0.0001,0.0976
0.0013,0.0001,0.0973
0.0013,0.0001,0.0971
0.0014,0.0001,0.0969
0.0014,0.0001,0.0966
0.0015,0.0001,0.0963
0.0015,0.0001,0.0961
0.0016,0.0001,0.0958
0.0017,0.0001,0.0955
0.0017,0.0001,0.0952
0.0018,0.0001,0.0949
0.0019,0.0001,0.0947
0.0020,0.0001,0.0944
0.0020,0.0000,0.0941
0.0021,0.0000,0.0938
0.0022,0.0000,0.0934
0.0023,-0.0000,0.0931
0.0024,-0.0000,0.0928
0.0024,-0.0000,0.0925
0.0025,-0.0001,0.0922
0.0026,-0.0001,0.0918
0.0027,-0.0001,0.0915
0.0028,-0.0001,0.0912
0.0029,-0.0001,0.0908
0.0030,-0.0002,0.0905
0.0031,-0.0002,0.0901
0.0032,-0.0002,0.0898
0.0033,-0.0002,0.0894
0.0034,-0.0002,0.0891
0.0035,-0.0003,0.0887
0.0036,-0.0003,0.0883
0.0037,-0.0003,0.0880
0.0038,-0.0003,0.0876
0.0039,-0.0003,0.0872
0.0040,-0.0004,0.0869
0.0041,-0.0004,0.0865
0.0042,-0.0004,0.0861
0.0043,-0.0004,0.0857
0.0044,-0.0004,0.0853
0.0045,-0.0004,0.0850
0.0047,-0.0004,0.0846
0.0048,-0.0005,0.0842
0.0049,-0.0005,0.0838
0.0050,-0.0005,0.0834
0.0051,-0.0005,0.0830
0.0053,-0.0005,0.0826
0.0054,-0.0005,0.0822
0.0055,-0.0005,0.0818
0.0057,-0.0005,0.0814
0.0058,-0.0005,0.0809
0.0059,-0.0005,0.0805
0.0061,-0.0005,0.0801
0.0062,-0.0005,0.0797
0.0063,-0.0005,0.0793
0.0065,-0.0005,0.0789
0.0066,-0.0005,0.0785
0.0068,-0.0005,0.0780
0.0069,-0.0005,0.0776
0.0071,-0.0005,0.0772
0.0072,-0.0005,0.0768
0.0074,-0.0005,0.0764
0.0075,-0.0005,0.0759
0.0077,-0.0005,0.0755
0.0078,-0.0004,0.0751
0.0080,-0.0004,0.0747
0.0082,-0.0004,0.0743
0.0083,-0.0004,0.0738
0.0085,-0.0004,0.0734
0.0086,-0.0003,0.0730
0.0088,-0.0003,0.0726
0.0090,-0.0003,0.0722
0.0092,-0.0003,0.0717
0.0093,-0.0002,0.0713
0.0095,-0.0002,0.0709
0.0097,-0.0002,0.0705
0.0099,-0.0001,0.0701
0.0101,-0.0001,0.0697
0.0102,-0.0001,0.0693
0.0104,-0.0000,0.0689
0.0106,0.0000,0.0685
0.0108,0.0001,0.0681
0.0110,0.0001,0.0677
0.0112,0.0001,0.0673
0.0114,0.0002,0.0669
0.0116,0.0002,0.0665
0.0118,0.0003,0.0661
0.0120,0.0004,0.0658
0.0122,0.0004,0.0654
0.0124,0.0005,0.0650
0.0127,0.0005,0.0647
0.0129,0.0006,0.0643
0.0131,0.0007,0.0640
0.0134,0.0008,0.0637
0.0136,0.0008,0.0633
0.0138,0.0009,0.0630
0.0141,0.0010,0.0627
0.0143,0.0010,0.0624
0.0146,0.0011,0.0621
0.0149,0.0012,0.0618
0.0151,0.0012,0.0615
0.0154,0.0013,0.0612
0.0157,0.0013,0.0610
0.0160,0.0014,0.0607
0.0163,0.0015,0.0605
0.0165,0.0015,0.0602
0.0168,0.0016,0.0600
0.0171,0.0016,0.0598
0.0175,0.0016,0.0596
0.0178,0.0017,0.0594
0.0181,0.0017,0.0592
0.0184,0.0018,0.0590
0.0187,0.0018,0.0588
0.0191,0.0018,0.0587
0.0194,0.0018,0.0585
0.0197,0.0019,0.0584
0.0201,0.0019,0.0582
0.0204,0.0019,0.0581
0.0208,0.0019,0.0580
0.0211,0.0019,0.0579
0.0215,0.0019,0.0578
0.0218,0.0019,0.0577
0.0222,0.0019,0.0576
0.0225,0.0019,0.0575
0.0229,0.0019,0.0574
0.0233,0.0019,0.0573
0.0236,0.0019,0.0572
0.0240,0.0019,0.0572
0.0243,0.0019,0.0571
0.0247,0.0019,0.0571
0.0250,0.0019,0.0570
0.0253,0.0019,0.0570
0.0257,0.0019,0.0569
0.0260,0.0019,0.0569
0.0263,0.0019,0.0569
0.0266,0.0019,0.0568
0.0270,0.0018,0.0568
0.0273,0.0018,0.0568
0.0276,0.0018,0.0568
0.0279,0.0018,0.0568
0.0282,0.0017,0.0567
0.0285,0.0017,0.0567
0.0288,0.0017,0.0567
0.0291,0.0016,0.0567
0.0294,0.0016,0.0567
0.0297,0.0016,0.0567
0.0300,0.0015,0.0567
0.0303,0.0015,0.0567
0.0306,0.0014,0.0567
0.0309,0.0014,0.0567
0.0312,0.0013,0.0567
0.0315,0.0013,0.0567
0.0318,0.0013,0.0567
0.0321,0.0012,0.0567
0.0324,0.0012,0.0567
0.0327,0.0011,0.0567
0.0330,0.0011,0.0568
0.0333,0.0010,0.0568
0.0336,0.0010,0.0568
0.0339,0.0009,0.0568
0.0342,0.0009,0.0568
0.0345,0.0008,0.0569
0.0348,0.0008,0.0569
0.0351,0.0007,0.0569
0.0354,0.0007,0.0569
0.0357,0.0006,0.0570
0.0359,0.0006,0.0570
0.0362,0.0005,0.0570
0.0365,0.0005,0.0570
0.0368,0.0004,0.0571
0.0371,0.0004,0.0571
0.0374,0.0003,0.0571
0.0377,0.0003,0.0571
0.0380,0.0002,0.0572
0.0382,0.0002,0.0572
0.0385,0.0001,0.0572
0.0388,0.0001,0.0573
0.0391,0.0000,0.0573
0.0394,-0.0000,0.0573
0.0396,-0.0001,0.0574
0.0399,-0.0001,0.0574
0.0402,-0.0002,0.0574
0.0405,-0.0002,0.0575
0.0407,-0.0003,0.0575
0.0410,-0.0003,0.0575
0.0413,-0.0004,0.0576
