X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0004,-0.0000,0.1002
-0.0005,-0.0001,0.1005
-0.0004,-0.0001,0.1007
-0.0003,-0.0001,0.1008
-0.0001,-0.0001,0.1008
0.0001,-0.0001,0.1007
0.0002,-0.0001,0.1006
0.0004,-0.0001,0.1004
0.0005,-0.0001,0.1003
0.0006,-0.0001,0.1001
0.0007,-0.0000,0.0998
0.0008,-0.0000,0.0996
0.0009,-0.0000,0.0994
0.0009,-0.0000,0.0992
0.0010,0.0000,0.0989
0.0011,0.0000,0.0987
0.0011,0.0000,0.0984
0.0012,0.0000,0.0982
0.0012,0.0000,0.0979
0.0013,0.0000,0.0977
0.0014,0.0000,0.0974
0.0014,0.0000,0.0972
0.0015,0.0000,0.0969
0.0016,0.0000,0.0967
0.0017,0.0000,0.0964
0.0017,0.0000,0.0961
0.0018,0.0000,0.0959
0.0019,0.0000,0.0956
0.0020,0.0000,0.0954
0.0021,0.0000,0.0951
0.0022,0.0000,0.0949
0.0023,0.0000,0.0946
0.0024,-0.0000,0.0944
0.0025,-0.0000,0.0941
0.0026,-0.0000,0.0939
0.0027,-0.0000,0.0936
0.0028,-0.0000,0.0934
0.0029,-0.0000,0.0932
0.0030,-0.0000,0.0929
0.0031,-0.0000,0.0927
0.0032,-0.0000,0.0925
0.0033,-0.0000,0.0923
0.0034,-0.0000,0.0920
0.0035,-0.0000,0.0918
0.0037,0.0000,0.0916
0.0038,0.0000,0.0914
0.0039,0.0001,0.0912
0.0040,0.0001,0.0910
0.0041,0.0001,0.0908
0.0043,0.0001,0.0906
0.0044,0.0002,0.0904
0.0045,0.0002,0.0902
0.0047,0.0002,0.0900
0.0048,0.0003,0.0899
0.0049,0.0003,0.0897
0.0051,0.0004,0.0895
0.0052,0.0004,0.0893
0.0054,0.0005,0.0892
0.0055,0.0005,0.0890
0.0057,0.0006,0.0889
0.0058,0.0006,0.0887
0.0060,0.0007,0.0885
0.0062,0.0008,0.0884
0.0063,0.0008,0.0883
0.0065,0.0009,0.0881
0.0067,0.0010,0.0880
0.0069,0.0010,0.0879
0.0070,0.0011,0.0877
0.0072,0.0012,0.0876
0.0074,0.0013,0.0875
0.0076,0.0013,0.0874
0.0078,0.0014,0.0873
0.0080,0.0015,0.0871
0.0082,0.0015,0.0870
0.0084,0.0016,0.0869
0.0086,0.0017,0.0868
0.0088,0.0018,0.0867
0.0090,0.0018,0.0866
0.0092,0.0019,0.0865
0.0094,0.0020,0.0864
0.0096,0.0020,0.0863
0.0098,0.0021,0.0862
0.0100,0.0022,0.0862
0.0103,0.0022,0.0861
0.0105,0.0023,0.0860
0.0107,0.0023,0.0859
0.0109,0.0024,0.0858
0.0111,0.0024,0.0857
0.0114,0.0025,0.0857
0.0116,0.0026,0.0856
0.0118,0.0026,0.0855
0.0120,0.0027,0.0854
0.0123,0.0027,0.0853
0.0125,0.0027,0.0853
0.0127,0.0028,0.0852
0.0130,0.0028,0.0851
0.0132,0.0029,0.0850
0.0134,0.0029,0.0850
0.0136,0.0030,0.0849
0.0139,0.0030,0.0848
0.0141,0.0030,0.0848
0.0143,0.0031,0.0847
0.0146,0.0031,0.0846
0.0148,0.0031,0.0846
0.0151,0.0032,0.0845
0.0153,0.0032,0.0844
0.0155,0.0032,0.0844
0.0158,0.0032,0.0843
0.0160,0.0033,0.0842
0.0162,0.0033,0.0842
0.0165,0.0033,0.0841
0.0167,0.0033,0.0840
0.0169,0.0033,0.0840
0.0172,0.0034,0.0839
0.0174,0.0034,0.0838
0.0177,0.0034,0.0838
0.0179,0.0034,0.0837
0.0181,0.0034,0.0836
0.0184,0.0035,0.0836
0.0186,0.0035,0.0835
0.0188,0.0035,0.0834
0.0191,0.0035,0.0834
0.0193,0.0035,0.0833
0.0196,0.0035,0.0832
0.0198,0.0035,0.0832
0.0200,0.0035,0.0831
0.0203,0.0036,0.0830
0.0205,0.0036,0.0830
0.0207,0.0036,0.0829
0.0210,0.0036,0.0828
0.0212,0.0036,0.0828
0.0215,0.0036,0.0827
0.0217,0.0036,0.0826
0.0219,0.0036,0.0826
0.0222,0.0036,0.0825
0.0224,0.0036,0.0824
0.0227,0.0037,0.0823
0.0229,0.0037,0.0823
0.0231,0.0037,0.0822
0.0234,0.0037,0.0821
0.0236,0.0037,0.0820
0.0238,0.0037,0.0820
0.0241,0.0037,0.0819
0.0243,0.0037,0.0818
0.0246,0.0037,0.0817
0.0248,0.0037,0.0817
0.0250,0.0037,0.0816
0.0253,0.0038,0.0815
0.0255,0.0038,0.0814
0.0258,0.0038,0.0813
0.0260,0.0038,0.0813
0.0262,0.0038,0.0812
0.0265,0.0038,0.0811
0.0267,0.0038,0.0810
0.0270,0.0038,0.0809
0.0272,0.0038,0.0808
0.0274,0.0038,0.0808
0.0277,0.0038,0.0807
0.0279,0.0038,0.0806
0.0282,0.0038,0.0805
0.0284,0.0038,0.0804
0.0287,0.0038,0.0803
0.0289,0.0038,0.0803
0.0292,0.0038,0.0802
0.0294,0.0038,0.0801
0.0296,0.0038,0.0800
0.0299,0.0038,0.0799
0.0301,0.0038,0.0798
0.0304,0.0038,0.0797
0.0306,0.0038,0.0797
0.0309,0.0038,0.0796
0.0311,0.0038,0.0795
0.0314,0.0038,0.0794
0.0316,0.0038,0.0793
0.0319,0.0038,0.0792
0.0321,0.0038,0.0791
0.0324,0.0038,0.0791
0.0326,0.0037,0.0790
0.0329,0.0037,0.0789
0.0331,0.0037,0.0788
0.0334,0.0037,0.0787
0.0337,0.0037,0.0787
0.0339,0.0037,0.0786
0.0342,0.0037,0.0785
0.0344,0.0037,0.0784
0.0347,0.0037,0.0784
0.0349,0.0036,0.0783
0.0352,0.0036,0.0782
0.0354,0.0036,0.0782
0.0357,0.0036,0.0781
0.0360,0.0036,0.0780
0.0362,0.0036,0.0780
0.0365,0.0036,0.0779
0.0368,0.0035,0.0778
0.0370,0.0035,0.0778
0.0373,0.0035,0.0777
0.0376,0.0035,0.0777
0.0379,0.0035,0.0776
0.0383,0.0035,0.0776
0.0386,0.0035,0.0775
0.0389,0.0035,0.0775
0.0392,0.0034,0.0774
0.0395,0.0034,0.0774
0.0399,0.0034,0.0773
0.0402,0.0034,0.0773
0.0405,0.0034,0.0773
0.0409,0.0033,0.0772
0.0412,0.0033,0.0772
0.0415,0.0033,0.0772
0.0419,0.0032,0.0771
0.0422,0.0032,0.0771
0.0425,0.0032,0.0770
0.0429,0.0031,0.0770
0.0432,0.0031,0.0770
0.0435,0.0031,0.0769
0.0438,0.0030,0.0769
0.0442,0.0030,0.0768
0.0445,0.0029,0.0768
0.0448,0.0029,0.0767
0.0451,0.0029,0.0767
0.0454,0.0028,0.0766
0.0458,0.0028,0.0766
0.0461,0.0027,0.0765
0.0464,0.0027,0.0765
0.0467,0.0026,0.0764
0.0470,0.0026,0.0764
0.0473,0.0025,0.0763
0.0476,0.0025,0.0763
0.0479,0.0024,0.0762
0.0482,0.0024,0.0762
0.0485,0.0023,0.0761
0.0488,0.0023,0.0760
0.0491,0.0022,0.0760
0.0494,0.0022,0.0759
0.0497,0.0021,0.0759
0.0500,0.0021,0.0758
0.0503,0.0020,0.0758
0.0505,0.0020,0.0757
0.0508,0.0019,0.0756
0.0511,0.0019,0.0756
0.0514,0.0018,0.0755
0.0517,0.0018,0.0755
0.0519,0.0017,0.0754
0.0522,0.0017,0.0754
0.0525,0.0016,0.0753
0.0527,0.0015,0.0752
0.0530,0.0015,0.0752
0.0533,0.0014,0.0751
0.0535,0.0014,0.0751
0.0538,0.0013,0.0751
0.0540,0.0012,0.0750
0.0543,0.0012,0.0750
0.0545,0.0011,0.0749
0.0548,0.0011,0.0749
0.0550,0.0010,0.0748
0.0553,0.0009,0.0748
0.0555,0.0009,0.0748
0.0557,0.0008,0.0748
0.0560,0.0008,0.0747
0.0562,0.0007,0.0747
0.0564,0.0006,0.0747
0.0566,0.0006,0.0747
0.0569,0.0005,0.0747
0.0571,0.0005,0.0746
0.0573,0.0004,0.0746
0.0575,0.0003,0.0746
0.0577,0.0003,0.0746
0.0579,0.0002,0.0746
0.0582,0.0002,0.0746
0.0584,0.0001,0.0746
0.0586,0.0001,0.0746
0.0588,0.0000,0.0747
0.0590,-0.0000,0.0747
0.0592,-0.0001,0.0747
0.0593,-0.0001,0.0747
0.0595,-0.0002,0.0747
0.0597,-0.0002,0.0748
0.0599,-0.0003,0.0748
0.0601,-0.0003,0.0748
0.0603,-0.0004,0.0749
0.0604,-0.0004,0.0749
0.0606,-0.0004,0.0750
0.0608,-0.0005,0.0750
0.0610,-0.0005,0.0751
0.0611,-0.0005,0.0751
0.0613,-0.0006,0.0752
0.0615,-0.0006,0.0752
0.0617,-0.0006,0.0753
0.0618,-0.0007,0.0753
0.0620,-0.0007,0.0754
0.0621,-0.0007,0.0754
0.0623,-0.0007,0.0755
0.0625,-0.0007,0.0756
0.0626,-0.0007,0.0756
0.0628,-0.0008,0.0757
0.0629,-0.0008,0.0757
0.0631,-0.0008,0.0758
0.0633,-0.0008,0.0759
0.0634,-0.0008,0.0759
0.0636,-0.0008,0.0760
0.0637,-0.0008,0.0761
0.0639,-0.0008,0.0761
0.0641,-0.0008,0.0762
0.0642,-0.0008,0.0762
0.0644,-0.0008,0.0763
0.0645,-0.0009,0.0764
0.0647,-0.0009,0.0764
0.0648,-0.0009,0.0765
0.0650,-0.0009,0.0766
0.0651,-0.0009,0.0766
0.0653,-0.0009,0.0767
0.0655,-0.0009,0.0767
0.0656,-0.0009,0.0768
0.0658,-0.0009,0.0769
0.0659,-0.0009,0.0769
0.0661,-0.0009,0.0770
0.0662,-0.0009,0.0771
0.0664,-0.0009,0.0771
0.0665,-0.0009,0.0772
0.0667,-0.0009,0.0772
0.0668,-0.0009,0.0773
0.0670,-0.0009,0.0774
0.0672,-0.0009,0.0774
0.0673,-0.0010,0.0775
0.0675,-0.0010,0.0775
0.0676,-0.0010,0.0776
0.0678,-0.0010,0.0777
0.0679,-0.0010,0.0777
0.0681,-0.0010,0.0778
0.0683,-0.0010,0.0778
0.0684,-0.0010,0.0779
0.0686,-0.0010,0.0780
0.0687,-0.0010,0.0780
0.0689,-0.0010,0.0781
0.0690,-0.0010,0.0781
0.0692,-0.0010,0.0782
0.0694,-0.0010,0.0783
0.0695,-0.0010,0.0783
0.0697,-0.0010,0.0784
0.0698,-0.0010,0.0784
0.0700,-0.0010,0.0785
0.0701,-0.0010,0.0786
0.0703,-0.0010,0.0786
0.0705,-0.0011,0.0787
0.0706,-0.0011,0.0787
0.0708,-0.0011,0.0788
0.0709,-0.0011,0.0788
0.0711,-0.0011,0.0789
0.0713,-0.0011,0.0789
0.0714,-0.0011,0.0790
0.0716,-0.0011,0.0791
0.0718,-0.0011,0.0791
0.0719,-0.0011,0.0792
0.0721,-0.0011,0.0792
0.0722,-0.0011,0.0793
0.0724,-0.0011,0.0793
0.0726,-0.0011,0.0794
0.0727,-0.0011,0.0794
0.0729,-0.0011,0.0795
0.0731,-0.0011,0.0796
0.0732,-0.0011,0.0796
0.0734,-0.0011,0.0797
0.0736,-0.0011,0.0797
0.0737,-0.0011,0.0798
0.0739,-0.0012,0.0798
0.0741,-0.0012,0.0799
0.0742,-0.0012,0.0799
0.0744,-0.0012,0.0800
0.0746,-0.0012,0.0800
0.0747,-0.0012,0.0801
0.0749,-0.0012,0.0801
0.0751,-0.0012,0.0802
0.0752,-0.0012,0.0802
0.0754,-0.0012,0.0803
0.0756,-0.0012,0.0804
0.0757,-0.0012,0.0804
0.0759,-0.0012,0.0805
0.0761,-0.0012,0.0805
0.0762,-0.0012,0.0806
0.0764,-0.0012,0.0806
0.0766,-0.0012,0.0807
0.0768,-0.0012,0.0807
0.0769,-0.0012,0.0808
0.0771,-0.0012,0.0808
0.0773,-0.0012,0.0809
0.0774,-0.0012,0.0809
0.0776,-0.0012,0.0809
0.0778,-0.0012,0.0810
0.0780,-0.0013,0.0810
0.0781,-0.0013,0.0811
0.0783,-0.0013,0.0811
0.0785,-0.0013,0.0812
0.0787,-0.0013,0.0812
0.0788,-0.0013,0.0813
0.0790,-0.0013,0.0813
0.0792,-0.0013,0.0814
0.0794,-0.0013,0.0814
0.0795,-0.0013,0.0815
0.0797,-0.0013,0.0815
0.0799,-0.0013,0.0816
0.0801,-0.0013,0.0816
0.0803,-0.0013,0.0816
0.0804,-0.0013,0.0817
0.0806,-0.0013,0.0817
0.0808,-0.0013,0.0818
0.0810,-0.0013,0.0818
0.0811,-0.0013,0.0819
0.0813,-0.0013,0.0819
0.0815,-0.0013,0.0819
0.0817,-0.0013,0.0820
0.0819,-0.0013,0.0820
0.0820,-0.0013,0.0821
0.0822,-0.0013,0.0821
0.0824,-0.0013,0.0822
0.0826,-0.0014,0.0822
0.0828,-0.0014,0.0822
0.0830,-0.0014,0.0823
0.0831,-0.0014,0.0823
0.0833,-0.0014,0.0824
