X [m],Y [m],Z [m]
0.0000,0.0000,0.1000
-0.0002,-0.0000,0.1001
-0.0002,-0.0001,0.1002
-0.0002,-0.0001,0.1003
-0.0000,-0.0001,0.1003
0.0001,-0.0001,0.1003
0.0002,-0.0001,0.1002
0.0003,-0.0001,0.1001
0.0004,-0.0001,0.1000
0.0005,-0.0001,0.0999
0.0006,-0.0001,0.0998
0.0007,-0.0001,0.0996
0.0007,-0.0001,0.0994
0.0008,-0.0001,0.0993
0.0008,-0.0001,0.0991
0.0009,-0.0000,0.0989
0.0009,-0.0000,0.0988
0.0010,-0.0000,0.0986
0.0010,-0.0000,0.0984
0.0011,-0.0000,0.0982
0.0012,-0.0000,0.0980
0.0012,-0.0000,0.0977
0.0013,-0.0000,0.0975
0.0013,-0.0000,0.0973
0.0014,-0.0001,0.0971
0.0015,-0.0001,0.0968
0.0015,-0.0001,0.0966
0.0016,-0.0001,0.0964
0.0017,-0.0001,0.0961
0.0017,-0.0001,0.0959
0.0018,-0.0001,0.0956
0.0019,-0.0001,0.0954
0.0020,-0.0002,0.0951
0.0020,-0.0002,0.0948
0.0021,-0.0002,0.0946
0.0022,-0.0002,0.0943
0.0023,-0.0002,0.0940
0.0024,-0.0003,0.0938
0.0024,-0.0003,0.0935
0.0025,-0.0003,0.0932
0.0026,-0.0003,0.0930
0.0027,-0.0003,0.0927
0.0028,-0.0004,0.0924
0.0029,-0.0004,0.0921
0.0029,-0.0004,0.0918
0.0030,-0.0004,0.0916
0.0031,-0.0004,0.0913
0.0032,-0.0004,0.0910
0.0033,-0.0004,0.0907
0.0034,-0.0005,0.0904
0.0035,-0.0005,0.0901
0.0036,-0.0005,0.0898
0.0037,-0.0005,0.0896
0.0038,-0.0005,0.0893
0.0039,-0.0005,0.0890
0.0039,-0.0005,0.0887
0.0040,-0.0005,0.0884
0.0041,-0.0005,0.0881
0.0042,-0.0005,0.0878
0.0043,-0.0005,0.0875
0.0044,-0.0005,0.0872
0.0045,-0.0005,0.0869
0.0046,-0.0005,0.0866
0.0047,-0.0005,0.0863
0.0049,-0.0005,0.0860
0.0050,-0.0004,0.0857
0.0051,-0.0004,0.0854
0.0052,-0.0004,0.0851
0.0053,-0.0004,0.0849
0.0054,-0.0004,0.0846
0.0055,-0.0004,0.0843
0.0056,-0.0004,0.0840
0.0057,-0.0003,0.0837
0.0059,-0.0003,0.0834
0.0060,-0.0003,0.0831
0.0061,-0.0003,0.0828
0.0062,-0.0002,0.0825
0.0064,-0.0002,0.0823
0.0065,-0.0002,0.0820
0.0066,-0.0001,0.0817
0.0068,-0.0001,0.0814
0.0069,-0.0001,0.0811
0.0070,-0.0000,0.0808
0.0072,-0.0000,0.0806
0.0073,0.0000,0.0803
0.0075,0.0001,0.0800
0.0076,0.0001,0.0798
0.0078,0.0002,0.0795
0.0079,0.0002,0.0792
0.0081,0.0003,0.0789
0.0082,0.0003,0.0787
0.0084,0.0004,0.0784
0.0085,0.0004,0.0782
0.0087,0.0005,0.0779
0.0089,0.0005,0.0777
0.0090,0.0006,0.0774
0.0092,0.0006,0.0772
0.0094,0.0007,0.0769
0.0096,0.0007,0.0767
0.0097,0.0008,0.0764
0.0099,0.0009,0.0762
0.0101,0.0009,0.0759
0.0103,0.0010,0.0757
0.0105,0.0011,0.0755
0.0107,0.0011,0.0752
0.0109,0.0012,0.0750
0.0111,0.0013,0.0748
0.0113,0.0013,0.0746
0.0115,0.0014,0.0743
0.0117,0.0015,0.0741
0.0119,0.0016,0.0739
0.0121,0.0016,0.0737
0.0123,0.0017,0.0735
0.0125,0.0018,0.0733
0.0127,0.0019,0.0731
0.0129,0.0020,0.0729
0.0132,0.0020,0.0727
0.0134,0.0021,0.0725
0.0136,0.0022,0.0723
0.0138,0.0023,0.0721
0.0140,0.0024,0.0719
0.0143,0.0024,0.0717
0.0145,0.0025,0.0715
0.0147,0.0026,0.0714
0.0150,0.0027,0.0712
0.0152,0.0028,0.0710
0.0154,0.0029,0.0708
0.0157,0.0029,0.0707
0.0159,0.0030,0.0705
0.0161,0.0031,0.0703
0.0164,0.0032,0.0702
0.0166,0.0032,0.0700
0.0168,0.0033,0.0699
0.0171,0.0034,0.0697
0.0173,0.0035,0.0695
0.0176,0.0035,0.0694
0.0178,0.0036,0.0693
0.0181,0.0037,0.0691
0.0183,0.0037,0.0690
0.0186,0.0038,0.0688
0.0188,0.0039,0.0687
0.0191,0.0039,0.0686
0.0193,0.0040,0.0684
0.0196,0.0040,0.0683
0.0198,0.0041,0.0682
0.0201,0.0041,0.0681
0.0204,0.0042,0.0679
0.0206,0.0042,0.0678
0.0209,0.0042,0.0677
0.0212,0.0043,0.0676
0.0214,0.0043,0.0675
0.0217,0.0043,0.0674
0.0219,0.0043,0.0673
0.0222,0.0044,0.0672
0.0225,0.0044,0.0671
0.0227,0.0044,0.0670
0.0230,0.0044,0.0669
0.0233,0.0044,0.0668
0.0236,0.0044,0.0667
0.0238,0.0044,0.0666
0.0241,0.0045,0.0665
0.0244,0.0045,0.0665
0.0246,0.0045,0.0664
0.0249,0.0045,0.0663
0.0252,0.0045,0.0662
0.0254,0.0044,0.0661
0.0257,0.0044,0.0661
0.0260,0.0044,0.0660
0.0262,0.0044,0.0659
0.0265,0.0044,0.0658
0.0268,0.0044,0.0658
0.0271,0.0044,0.0657
0.0273,0.0044,0.0656
0.0276,0.0044,0.0656
0.0279,0.0043,0.0655
0.0281,0.0043,0.0655
0.0284,0.0043,0.0654
0.0287,0.0043,0.0653
0.0289,0.0043,0.0653
0.0292,0.0043,0.0652
0.0295,0.0042,0.0652
0.0297,0.0042,0.0651
0.0300,0.0042,0.0651
0.0303,0.0042,0.0651
0.0305,0.0041,0.0650
0.0308,0.0041,0.0650
0.0311,0.0041,0.0649
0.0313,0.0041,0.0649
0.0316,0.0040,0.0649
0.0318,0.0040,0.0649
0.0321,0.0040,0.0648
0.0324,0.0040,0.0648
0.0327,0.0039,0.0648
0.0329,0.0039,0.0648
0.0332,0.0039,0.0648
0.0335,0.0039,0.0647
0.0338,0.0039,0.0647
0.0342,0.0038,0.0647
0.0345,0.0038,0.0647
0.0348,0.0038,0.0647
0.0351,0.0038,0.0647
0.0355,0.0038,0.0647
0.0358,0.0037,0.0647
0.0362,0.0037,0.0647
0.0365,0.0037,0.0647
0.0368,0.0036,0.0647
